sf_code,product_type,product_name
JT251,DRY,Milled Rice (Yaehara) 2kg
JT252,FRZ,Onigiri Nori Sheet
JT253,DRY,Milled Rice (Yaehara) 5kg
JT256,DRY,Roasted Green Tea 100g IYEMON Sencha
JT27,DRY,Dried Bonito Flake 500g  
JT342,DRY,Curry Powder 2kg
JT360,DRY,Skewer 10.5cm 250pc
JT380,DRY,Miso Dipping Sauce (Spicy) 100g
JT393,DRY,Plastic Bag MUJI
JT394,DRY,Plastic Bag TSUKUNE 770PC
JT395A,DRY,Plastic Bag TERIYAKI CHICKEN 2kg
JT395B,DRY,Plastic Bag TERIYAKI CHICKEN 2kg
JT396A,DRY,Plastic Bag TERIYAKI BEEF 2kg
JT396B,DRY,Plastic Bag TERIYAKI BEEF 2kg
JT408,DRY,Japanese Green Tea SENCHA 1kg LO-A
JT413,DRY,Milled Rice (KAZUSA KOSHIHIKARI) 5KG
JT414,DRY,Plastic PACK ML-6H
JT423,DRY,Can for Seaweed Big
JT424,DRY,Can for Seaweed Small
JT436,DRY,BBQ Galvanised Mesh 24.5cm 
JT445,DRY,Japanese Soup (Bonito) 1kg (500gx2)
JT449,DRY,Japanese Confectionery Hi-Chew (Strawberry) 
JT45,DRY,Miso Zuke no Moto1kg
JT450,DRY,Japanese Confectionery Hi-Chew (Grape) 
JT451,DRY,Japanese Confectionery Hi-Chew (Green Apple) 
JT456,DRY,Rice PACKage (Hikari Komachi 5kg)
JT458,DRY,Ina Agar L(Jelly powder mix) 500g
JT459,DRY,Malted Rice-Steamed(MIYAKO KOJI) 500g
JT46,DRY, 
JT46A,DRY,Rice Vineger Mild 20lt (TF) No design
JT473,DRY,Lunch Box H-151-31
JT480,DRY,Milled Rice(Miyagi)  2kg 17.01.05
JT486,DRY,Roasted Green Tea Powder 5kg HOUJICHA
JT48a,DRY,Roasted Sesame White 1kg   
JT504,DRY,Aluminium Bag (Green Tea 500g)
JT510,DRY,Green Tea Powder HAGOROMO 20g
JT524,DRY,Milled Rice (FUKKURINKO) 5kg
JT526,DRY,Milled Rice (YUMEPIRIKA) 5kg
JT527,DRY,Milled Rice (YUMEPIRIKA) 2kg
JT528,DRY,Milled Rice (NANATSU BOSHI) 5kg
JT529,DRY,Milled Rice (NANATSU BOSHI) 2kg
JT536,DRY,Non Alcoholic Drink  ASAHI DRY ZERO Free 350ml
JT539,FRZ,Seasoned Dried Gourd Strips
