sf_code,end_stock_day,product_name,new_balance,unit,bbd,product_type
JT1181,31/12/2019,,9,ctn,31/12/2099,DRY
JT1182,31/12/2019,,1,ctn,31/12/2099,DRY
JT1183,31/12/2019,,5,ctn,31/12/2099,DRY
JT1184,31/12/2019,,1,ctn,31/12/2099,DRY
JT157,31/12/2019,,16,ctn,1/05/2020,DRY
JT157,31/12/2019,,36,ctn,1/08/2020,DRY
JT167,31/12/2019,,12,pc,31/12/2099,DRY
JT221,31/12/2019,,6,ctn,23/07/2020,DRY
JT249,31/12/2019,,8,pack,31/12/2099,DRY
JT250,31/12/2019,,4,pack,31/12/2099,DRY
JT251,31/12/2019,,15.1,ctn,27/03/2020,DRY
JT251,31/12/2019,,27,ctn,3/06/2020,DRY
JT253,31/12/2019,,22.75,ctn,3/06/2020,DRY
JT253,31/12/2019,,48.25,ctn,1/10/2020,DRY
JT256,31/12/2019,,1,ctn,12/08/2018,DRY
JT27,31/12/2019,,34,ctn,1/09/2020,DRY
JT342,31/12/2019,,1.3334,ctn,11/07/2021,DRY
JT342,31/12/2019,,1,ctn,7/11/2021,DRY
JT342,31/12/2019,,5,ctn,23/01/2022,DRY
JT380,31/12/2019,,1,ctn,13/12/2014,DRY
JT393,31/12/2019,,9.83,ctn,31/12/2099,DRY
JT394,31/12/2019,,7,ctn,31/12/2099,DRY
JT395B,31/12/2019,,11,ctn,31/12/2099,DRY
JT396A,31/12/2019,,3,ctn,7/02/2020,DRY
